id,user_id,action,timestamp
1,1,Viewed vehicle,2024-08-30 00:00:00
2,2,Made payment,2026-02-14 00:00:00
3,2,Updated profile,2025-09-26 00:00:00
4,2,Logged in,2024-03-02 00:00:00
5,3,Viewed vehicle,2025-05-25 00:00:00
6,4,Updated profile,2024-06-04 00:00:00
7,4,Made payment,2024-07-28 00:00:00
8,5,Logged in,2024-08-31 00:00:00
9,5,Uploaded document,2025-03-30 00:00:00
10,5,Viewed vehicle,2024-05-17 00:00:00
11,6,Viewed vehicle,2025-10-21 00:00:00
12,6,Logged in,2025-06-17 00:00:00
13,7,Viewed vehicle,2026-02-07 00:00:00
14,7,Logged in,2024-08-22 00:00:00
15,8,Viewed vehicle,2024-12-16 00:00:00
16,8,Updated profile,2024-07-29 00:00:00
17,8,Uploaded document,2024-02-25 00:00:00
18,9,Updated profile,2026-03-31 00:00:00
19,9,Updated profile,2025-09-14 00:00:00
20,9,Made payment,2025-06-17 00:00:00
21,10,Updated profile,2025-03-28 00:00:00
22,10,Logged in,2024-03-07 00:00:00
23,11,Logged in,2024-07-16 00:00:00
24,11,Logged in,2025-10-11 00:00:00
25,12,Updated profile,2024-05-08 00:00:00
26,13,Updated profile,2025-08-29 00:00:00
27,14,Updated profile,2024-08-29 00:00:00
28,14,Uploaded document,2024-03-21 00:00:00
29,14,Made payment,2026-01-12 00:00:00
30,15,Viewed vehicle,2024-06-17 00:00:00
31,15,Updated profile,2024-09-07 00:00:00
32,16,Updated profile,2025-09-12 00:00:00
33,16,Updated profile,2024-11-06 00:00:00
34,17,Uploaded document,2025-04-04 00:00:00
35,17,Updated profile,2024-10-05 00:00:00
36,18,Logged in,2025-01-03 00:00:00
37,18,Made payment,2025-01-21 00:00:00
38,19,Made payment,2025-03-27 00:00:00
39,20,Uploaded document,2025-09-16 00:00:00
40,20,Made payment,2026-02-17 00:00:00
41,21,Made payment,2024-01-21 00:00:00
42,22,Made payment,2026-05-24 00:00:00
43,22,Logged in,2026-02-16 00:00:00
44,23,Uploaded document,2025-07-04 00:00:00
45,23,Updated profile,2025-07-20 00:00:00
46,24,Updated profile,2024-09-20 00:00:00
47,24,Made payment,2025-04-19 00:00:00
48,24,Viewed vehicle,2025-04-09 00:00:00
49,25,Made payment,2025-07-29 00:00:00
50,25,Uploaded document,2025-05-07 00:00:00
51,26,Viewed vehicle,2024-05-19 00:00:00
52,27,Made payment,2024-07-19 00:00:00
53,27,Updated profile,2026-07-27 00:00:00
54,27,Updated profile,2024-01-05 00:00:00
55,28,Uploaded document,2026-01-17 00:00:00
56,29,Viewed vehicle,2025-05-18 00:00:00
57,29,Made payment,2025-03-01 00:00:00
58,29,Made payment,2026-01-30 00:00:00
59,30,Made payment,2025-05-16 00:00:00
60,30,Viewed vehicle,2025-10-18 00:00:00
